model,dataset_name,variant,structure_info,init_layers_X,hidden,layers,hops,fixed_splits,resnet,layer_norm,att_hopwise_distinct,fuse_hop,normalization,online_cs,lambda_pen,lambda_2hop,threshold,svd_rank,top,comm_size,approach,split,lr,weight_decay,dropout,test_mean,test_std,runtime_average,epoch_average,cs_time,cs_nmi,cs_nmi_std,cs_jaccard,cs_jaccard_std,cs_f1,cs_f1_std
acmsmn,cornell,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop,9,0.01,0.001,0.5,0.8114754098360656,0.06769122236741827,26.65007598400116,269.19268670708243,0.0009970285557210445,0.0,0.0,0.8228,0.0,0.9028,0.0
acmsmn,cornell,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8754098360655739,0.03893226913782923,3.8145477771759033,38.53078562803943,0.0005686008278280497,0.0,0.0,0.8131,0.0,0.8969,0.0
acmsmn,cornell,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.878688524590164,0.036803187410891225,3.6320960521698,36.68783891080606,0.0021050077956169845,0.0,0.0,0.829,0.0,0.9065,0.0
acmsmn,cornell,1,2,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,0.5,0.5,0.9,100,2,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8459016393442622,0.09814183309570995,4.9129962682723995,49.626224932044444,0.002665195232257247,0.0,0.0,0.649,0.0,0.7871,0.0
acmsmn,wisconsin,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop,9,0.01,0.001,0.5,0.8687500000000001,0.054270733365231034,4.117532467842102,41.59123704891012,0.0008056729566305876,0.0,0.0,0.8862,0.0,0.9397,0.0
acmsmn,wisconsin,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.87625,0.044176492617680724,3.9200482845306395,39.59644731849131,0.0006113472394645214,0.0,0.0,0.8972,0.0,0.9458,0.0
acmsmn,wisconsin,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8550000000000001,0.05482928049865328,3.881250286102295,39.204548344467625,0.0007715316023677588,0.0,0.0,0.8503,0.0,0.9191,0.0
acmsmn,wisconsin,1,2,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,0.5,0.5,0.9,100,2,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8550000000000001,0.05482928049865328,3.8026797771453857,38.41090683985238,0.00250597364269197,0.0,0.0,0.8697,0.0,0.9303,0.0
acmsmn,texas,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop,9,0.01,0.001,0.5,0.8475409836065575,0.05681220803660151,4.1406728506088255,41.82497828897804,0.0005964515171945095,0.0,0.0,0.8697,0.0,0.9303,0.0
acmsmn,texas,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8688524590163935,0.06798833230599254,3.822381281852722,38.60991193790628,0.0007811291981488466,0.0,0.0,0.7683,0.0,0.869,0.0
